角色,星级,概率
斯凯亚克罗,5星,0.0025
菲欧儿,5星,0.0025
米罗德,5星,0.0025
薇欧拉,5星,0.0025
莉妮特,5星,0.0025
吉尔德罗伊,5星,0.0025
特欧,5星,0.0025
索菲亚,5星,0.0025
斯凯亚克罗,4星,0.0025
菲欧儿,4星,0.0025
米罗德,4星,0.0025
薇欧拉,4星,0.0025
莉妮特,4星,0.0025
吉尔德罗伊,4星,0.0025
特欧,4星,0.0025
索菲亚,4星,0.0025
普利基特,4星,0.004186
洛洛,4星,0.004186
雪娜,4星,0.004186
约伦,4星,0.004186
勒凡,4星,0.004186
波拉,4星,0.004186
艾弗伦,4星,0.004186
肯尼斯,4星,0.004186
科尔尼利亚,4星,0.004186
杜兰,4星,0.004186
纳尔,4星,0.004186
梅贝儿,4星,0.004186
伊利斯,4星,0.004186
法维欧,4星,0.004186
莉塔,4星,0.004186
歇尔薇,4星,0.004186
罗迪恩,4星,0.004186
玛德蕾妮,4星,0.004186
诺艾尔,4星,0.004186
塞德里克,4星,0.004186
梅诺,4星,0.004186
巴拉德,4星,0.004186
贝尔加,4星,0.004186
阿孜莱特,4星,0.004186
卡米拉,4星,0.004186
迈尔斯,4星,0.004186
贝尔特朗,4星,0.004186
洁卡莉特,4星,0.004186
塔希尔,4星,0.004186
特里休,4星,0.004186
阿什兰,4星,0.004186
劳拉,4星,0.004186
佩雷迪尔,4星,0.004186
米娜,4星,0.004186
卢塞塔,4星,0.004186
拉莫纳,4星,0.004186
梅蕾特,4星,0.004186
皮雅,4星,0.004186
哈因茨,4星,0.004186
德文,4星,0.004186
克雷斯,4星,0.004186
卡尔茨,4星,0.004186
温格特,4星,0.004186
普利基特,3星,0.0093023
洛洛,3星,0.0093023
雪娜,3星,0.0093023
约伦,3星,0.0093023
勒凡,3星,0.0093023
波拉,3星,0.0093023
艾弗伦,3星,0.0093023
肯尼斯,3星,0.0093023
科尔尼利亚,3星,0.0093023
杜兰,3星,0.0093023
纳尔,3星,0.0093023
梅贝儿,3星,0.0093023
伊利斯,3星,0.0093023
法维欧,3星,0.0093023
莉塔,3星,0.0093023
歇尔薇,3星,0.0093023
罗迪恩,3星,0.0093023
玛德蕾妮,3星,0.0093023
诺艾尔,3星,0.0093023
塞德里克,3星,0.0093023
梅诺,3星,0.0093023
巴拉德,3星,0.0093023
贝尔加,3星,0.0093023
阿孜莱特,3星,0.0093023
卡米拉,3星,0.0093023
迈尔斯,3星,0.0093023
贝尔特朗,3星,0.0093023
洁卡莉特,3星,0.0093023
塔希尔,3星,0.0093023
特里休,3星,0.0093023
阿什兰,3星,0.0093023
劳拉,3星,0.0093023
佩雷迪尔,3星,0.0093023
米娜,3星,0.0093023
卢塞塔,3星,0.0093023
拉莫纳,3星,0.0093023
梅蕾特,3星,0.0093023
皮雅,3星,0.0093023
哈因茨,3星,0.0093023
德文,3星,0.0093023
克雷斯,3星,0.0093023
卡尔茨,3星,0.0093023
温格特,3星,0.0093023
马努埃尔,3星,0.0158333
伊布林,3星,0.0158333
哈利,3星,0.0158333
霍尔赫,3星,0.0158333
萨莉亚,3星,0.0158333
佩妮,3星,0.0158333
迪艾格,3星,0.0158333
费丽妮,3星,0.0158333
比利,3星,0.0158333
赫塞,3星,0.0158333
帕尔,3星,0.0158333
特利,3星,0.0158333
弗昂,3星,0.0158333
卡萝尔,3星,0.0158333
科妮,3星,0.0158333
古提,3星,0.0158333
薇薇安,3星,0.0158333
萨妮,3星,0.0158333
伍格,3星,0.0158333
南娜,3星,0.0158333
梅妮,3星,0.0158333
弗利欧,3星,0.0158333
尤妮丝,3星,0.0158333
多利,3星,0.0158333
